Week, Quantity, Amount, A, B, C, D, E, F, G, H, I, J, L, O
2015-10-03, 1, 900, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
2015-09-18, 1, 900, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
2015-09-10, 2, 1800, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0
2015-09-08, 1, 900, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
2015-08-31, 4, 3600, 1, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2015-08-27, 2, 1800, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2015-08-26, 1, 900, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
2015-08-25, 4, 3600, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2015-08-22, 3, 2700, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0
2015-08-19, 1, 900, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0
2015-08-17, 6, 5400, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0
2015-08-12, 2, 1800, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0
2015-08-11, 3, 2700, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3
2015-07-25, 1, 900, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0
2015-07-11, 1, 900, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
2015-06-29, 2, 1800, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0
2015-06-27, 3, 2700, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0
2015-05-15, 1, 900, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2015-05-12, 2, 1800, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2
2015-05-11, 1, 900, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
2015-05-08, 1, 900, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
2015-05-07, 1, 900, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
2015-04-21, 1, 900, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
2015-04-08, 1, 900, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
2015-04-04, 1, 900, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
2015-04-02, 1, 900, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0
2015-04-01, 1, 900, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
2015-03-30, 1, 900, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2015-03-23, 1, 900, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0
2015-03-17, 1, 900, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
2015-03-16, 1, 900, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
2015-03-10, 1, 900, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
2015-03-07, 2, 1800, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0
2015-03-02, 1, 900, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
2015-02-13, 1, 900, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
2015-02-12, 4, 3600, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 3
2015-02-10, 1, 900, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2015-02-09, 1, 900, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
2015-02-05, 1, 900, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
2015-01-30, 1, 900, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
2015-01-23, 3, 2700, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0
2015-01-17, 3, 2700, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2015-01-05, 2, 1800, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
2014-12-15, 1, 900, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
2014-12-11, 1, 900, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
2014-12-08, 1, 900, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
2014-12-04, 2, 1800, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2014-11-01, 6, 5400, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2014-10-20, 1, 900, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
