Week, Quantity, Amount, A, B, C, D, E, F, G, H, I, J, L, O
2015-10-10, 1, 700, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0
2015-10-06, 1, 700, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0
2015-09-30, 1, 700, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
2015-09-23, 1, 700, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0
2015-09-21, 1, 700, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0
2015-09-02, 1, 700, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2015-08-25, 1, 700, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
2015-08-19, 2, 1400, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0
2015-08-04, 1, 700, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
2015-08-01, 1, 700, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0
2015-07-31, 1, 700, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0
2015-07-25, 8, 5600, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0
2015-07-22, 2, 1400, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2
2015-07-07, 1, 700, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0
2015-07-06, 1, 700, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
2015-07-02, 1, 750, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2015-06-17, 1, 650, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0
2015-06-01, 4, 2600, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3
2015-05-30, 1, 650, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
2015-05-19, 1, 650, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0
2015-05-11, 1, 650, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0
2015-05-09, 1, 650, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0
2015-05-08, 2, 1300, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2
2015-04-23, 1, 650, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2015-04-20, 1, 650, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0
2015-04-18, 1, 650, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
2015-04-08, 1, 650, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2015-04-06, 1, 650, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
2015-03-30, 4, 2600, 1, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 1
2015-03-29, 1, 650, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0
2015-03-24, 3, 1950, 0, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0
